Crónica,Ensayo,Prensa,Redes
el;30232;art_def,el;155553;art_def,el;986180;art_def,el;115087;art_def
de;18250;pre,de;90399;pre,de;712217;pre,miedo;64356;nom
que;9115;con,que;45637;con,en;288352;pre,que;63373;con
y;8310;con,y;42043;con,que;268733;con,de;61215;pre
a;8073;pre,a;40433;pre,y;257423;con,rt;48918;nr
en;7513;pre,en;38346;pre,a;206187;pre,a;48218;pre
un;6190;art_def,un;28791;art_def,un;157592;art_def,y;37586;con
ser;5044;ver_sup,ser;25748;ver_sup,ser;143200;ver_sup,ser;36612;ver_sup
suyo;3985;pro_pos,se;19011;sw,del;124900;sw,no;30669;pre
se;3735;sw,n;18143;sw,se;112629;sw,tener;26732;ver_sup
él;3505;pro_per,del;16157;sw,por;108340;pre,un;25927;art_def
no;3484;pre,por;13793;pre,con;92211;pre,en;25234;pre
con;2844;pre,suyo;13600;pro_pos,para;87506;pre,yo;24116;pro_per
del;2741;sw,no;13240;pre,suyo;84761;pro_pos,por;17180;pre
por;2729;pre,con;9834;pre,no;65615;pre,dar;15774;ver
haber;2463;ver_sup,haber;9583;ver_sup,haber;63626;ver_sup,se;14912;sw
para;2319;pre,o;8826;con,al;57801;sw,él;14368;pro_per
estar;1892;ver_sup,este;8600;pro_dem,este;46773;pro_dem,haber;13531;ver_sup
al;1581;sw,como;8581;con,como;42069;con,t;13221;sw
yo;1492;pro_per,para;8535;pre,más;39767;adv,con;13157;pre
tener;1460;ver_sup,al;8021;sw,tener;37004;ver_sup,https;12942;nr
como;1367;con,s;7277;sw,él;36083;pro_per,co;12736;nr
ese;1332;pro_dem,miedo;7135;nom,estar;35255;ver_sup,estar;10429;ver_sup
pero;1233;con,él;6713;pro_per,méxico;33517;nom,este;9873;pro_dem
decir;1137;ver,todo;5834;adj_ind,año;28799;nom,al;9694;sw
hacer;1109;ver,poder;5742;ver_sup,poder;27281;ver_sup,para;9484;pre
este;1068;pro_dem,ese;4884;pro_dem,o;25697;con,tú;8777;pro_per
más;1063;adv,m;4619;sw,todo;25261;adj_ind,__;8560;nr
mujer;1061;nom,otro;4545;adj_ind,mil;24739;adv,del;8524;sw
otro;966;adj_ind,tener;4441;ver_sup,nacional;22420;adj,si;8289;con
todo;960;adj_ind,pero;4093;con,hacer;22335;ver,ir;7930;ver
o;926;con,más;3523;adv,com;21923;nr,todo;7881;adj_ind
año;898;nom,estar;3408;ver_sup,l;21604;sw,mío;7793;pro_pos
poder;843;ver_sup,hacer;3373;ver,estado;21049;nom,sin;7307;pre
cuando;812;con,sobre;3334;pre,país;20970;nom,suyo;7181;pro_pos
hijo;779;nom,nosotros;3108;pro_per,ese;20445;pro_dem,hacer;7067;ver
ir;770;ver,äù;3012;nr,decir;19751;ver,pero;6609;con
ya;734;adv,si;2872;con,presidente;18407;nom,decir;6500;ver
día;723;nom,sin;2835;pre,pero;18352;con,poder;6233;ver_sup
porque;674;con,mismo;2769;adv,gobierno;18019;nom,querer;6209;ver
nosotros;647;pro_per,entre;2729;pre,otro;17617;adj_ind,ese;6119;pro_dem
si;642;con,nuestro;2649;pro_pos,grande;16990;adj,q;6041;sw
ver;627;ver,vida;2549;nom,foto;16847;nom,más;6039;adv
saber;559;ver,grande;2524;adj,entre;15627;pre,ver;5640;ver
casa;559;nom,an;2376;nr,dar;15573;ver,ya;5131;adv
dar;557;ver,mucho;2365;adj,sin;15280;pre,porque;4912;con
qué;556;pro,decir;2311;ver,ir;15150;ver,o;4907;con
querer;556;ver,vez;2278;nom,primero;15066;adj,como;4829;con
tú;552;pro_per,social;2200;adj,nuevo;14862;adj,mucho;4538;adj
mío;534;pro_pos,cuando;2193;con,ya;14523;adv,qué;4036;pro
llegar;517;ver,ni;2183;con,persona;14350;nom,día;4023;nom
sin;508;pre,dar;2089;ver,mx;14211;nr,solo;3872;adj
quien;505;pro_rel,yo;2079;pro_per,político;14090;adj,cuando;3785;con
pasar;498;ver,persona;2019;nom,desde;13737;pre,nosotros;3753;pro_per
entre;493;pre,ya;2007;adv,también;13545;adv_sup,pasar;3465;ver
desde;487;pre,mundo;1921;nom,pasar;13493;ver,bueno;3404;adj
también;485;adv_sup,ver;1867;ver,día;13436;nom,otro;3188;adj_ind
mucho;481;adj,nuevo;1837;adj,sobre;13358;nom,nada;3158;adj_ind
vez;475;nom,mujer;1833;nom,millón;13354;nom,saber;3083;ver
después;474;adv,hombre;1832;nom,dos;13349;nom,hoy;3031;adv
donde;471;adv_sup,estado;1832;nom,quien;13232;pro_rel,gente;2923;nom
encontrar;464;ver,forma;1791;nom,_;13231;nr,año;2886;nom
dos;461;nom,tanto;1773;adj,1;13018;num,ni;2855;con
sobre;460;nom,parte;1734;nom,2;12849;num,grande;2759;adj
policía;460;nom,as;1719;nom,mexicano;12705;adj,vez;2715;nom
cuerpo;458;nom,sociedad;1718;nom,ciudad;12304;nom,seguir;2626;ver
vida;445;nom,sino;1717;con,contra;11970;pre,dejar;2626;ver
alguno;443;adj,tiempo;1713;nom,si;11718;con,persona;2548;nom
estado;434;nom,bien;1662;nom,público;11500;adj,nunca;2489;adv
violencia;431;nom,humano;1623;adj,lópez;11355;nom,cómo;2410;adv
méxico;430;nom,porque;1617;con,deber;11064;ver_sup,ahora;2344;adv
buscar;419;ver,alguno;1613;adj_ind,parte;10921;nom,vivir;2338;ver
persona;418;nom,desde;1587;pre,yo;10693;pro_per,pensar;2331;ver
dejar;405;ver,propio;1568;adj,nuestro;10369;pro_pos,tanto;2269;adj
llevar;403;ver,bueno;1531;adj,caso;10259;nom,____;2191;nr
sólo;401;adv,también;1526;adv_sup,nosotros;10222;pro_per,perder;2146;ver
hombre;398;nom,deber;1517;ver_sup,mujer;10104;nom,quien;2112;pro_rel
primero;395;adj,siglo;1513;nom,bueno;9922;adj,hablar;2060;ver
mismo;380;adj,ir;1479;ver,unir;9906;ver,siempre;2054;adv
ni;370;con,os;1461;nr,mucho;9885;adj_ind,vox;2022;nr
seguir;369;ver,muerte;1448;nom,donde;9852;adv_sup,cosa;2018;nom
así;363;adv,est;1442;nr,3;9674;num,volver;1993;ver
joven;361;adj,pol;1391;nr,2022;9530;num,sentar|sentir;1993;ver
hasta;360;pre,contra;1381;pre,así;9504;adv,muy;1946;adv_sup
trabajo;357;nom,tambi;1362;nr,hasta;9489;pre,bien;1939;nom
desaparecer;356;ver,caso;1361;nom,cuando;9407;con,deber;1856;ver_sup
gobierno;348;nom,modo;1316;nom,porque;9329;con,algo;1698;adj_ind
familia;347;nom,hasta;1291;pre,ver;9040;ver,quedar;1693;ver
niño;345;nom,muy;1290;adv_sup,sólo;8930;adv,nombre;1686;nom
hablar;338;ver,primero;1279;adj,derecho;8865;nom,nuestro;1648;pro_pos
caso;338;nom,medio;1259;nom,alguno;8800;adj_ind,país;1638;nom
salir;333;ver,quien;1258;pro_rel,ciento;8718;adj,vida;1629;nom
ahí;331;adv,lugar;1253;nom,seguridad;8501;nom,mujer;1622;nom
ciudad;328;nom,político;1250;adj,social;8476;adv,salir;1606;ver
antes;325;adv_sup,uno;1227;nom,acuerdo;8396;nom,así;1570;adv
público;324;adj,dos;1226;nom,tres;8273;adj,amor;1567;nom
muy;322;adv_sup,pues;1225;con,federal;8234;adj,dos;1546;nom
entonces;321;adv_sup,cada;1221;adj_ind,durante;8171;pre,hasta;1531;pre
madre;317;nom,menos;1201;adv,llegar;8041;ver,______;1491;nr
cómo;317;adv,l;1198;sw,seguir;8034;ver,tan;1487;adv
uno;309;nom,tratar;1183;ver,especial;8014;adj,antes;1471;adv_sup
tiempo;303;nom,parecer;1170;ver,realizar;8006;ver,terminar;1465;ver
nuestro;302;pro_pos,riesgo;1152;nom,moreno;7820;nom,mismo;1454;adj
amigo;295;nom,tica;1147;nr,mismo;7770;adj,entre;1452;pre
bianca;292;nr,pasar;1124;ver,vez;7676;nom,votar;1446;ver
contra;291;pre,solo;1112;adj,general;7631;adj,llegar;1445;ver
grande;290;adj,hecho;1111;nom,ante;7606;pre,os;1428;nr
quedar;288;ver,p;1099;sw,buscar;7585;ver,poner;1422;ver
tres;280;adj,aquel;1095;pro_dem,ayer;7570;adv,verdad;1400;nom
cada;280;adj_ind,tico;1093;nom,muy;7477;adv_sup,también;1384;adv_sup
pensar;279;ver,d;1088;sw,vida;7471;nom,nadie;1378;nom
nuevo;274;adj,tal;1072;adj_ind,2021;7467;num,cada;1372;adj_ind
derecho;267;nom,trabajo;1070;nom,peso;7445;nom,meter;1370;ver
país;265;nom,tan;1068;adv,llevar;7387;ver,mal;1364;nom
nombre;263;nom,poner;1068;ver,grupo;7343;nom,nuevo;1342;adj
mil;263;adv,ciudad;1068;nom,partido;7340;nom,contra;1307;pre
vivir;262;ver,äî;1066;nr,4;7205;num,hijo;1302;nom
mes;261;nom,hab;1062;nr,dejar;7157;ver,donde;1294;adv_sup
político;257;adj,c;1027;sw,10;7132;num,gobierno;1273;nom
pedir;254;ver,saber;1026;ver,5;7127;num,después;1260;adv
conocer;252;ver,durante;1018;pre,gimm;7095;nr,odiar;1253;nr
parte;250;nom,sentido;977;nom,19;6917;num,malo;1244;adj
lugar;248;nom,historia;975;nom,obrador;6893;nr,d;1242;sw
detener;244;ver,encontrar;972;ver,trabajo;6845;nom,mundo;1236;nom
hermano;241;nom,amenaza;966;nom,uno;6844;nom,sentir;1207;ver
volver;240;ver,cual;960;pro_rel,además;6803;adv,alguien;1207;pron
ahora;240;adv,incluso;948;adv_sup,cada;6706;adj_ind,medio;1136;nom
medio;239;nom,siempre;945;adv,querer;6690;ver,cuenta;1113;nom
escuchar;239;ver,seguir;939;ver,cual;6658;pro_rel,crear|creer;1113;ver
víctima;237;nom,hablar;927;ver,electoral;6642;adv,alguno;1069;adj
padre;234;nom,cierto;926;adj_ind,medio;6616;nom,m;1065;sw
tomar;233;ver,cosa;920;nom,niño;6575;nom,tocar;1057;ver
bueno;231;adj,vivir;914;ver,salud;6461;nom,hecho;1053;nom
llamar;228;ver,peligro;908;nom,bajo;6459;pre,llevar;1048;ver
trabajar;227;ver,temor;905;nom,hoy;6390;adv,derecho;1023;nom
nada;224;adj_ind,ante;902;pre,encontrar;6374;ver,venir;1019;ver
algo;224;adj_ind,entonces;900;adv_sup,último;6371;adj,hombre;1017;nom
justicia;222;nom,pensar;891;ver,elheraldodemexico;6339;nr,españa;1009;nom
bien;219;nom,llevar;886;ver,presentar;6319;ver,orgullo;995;nom
momento;215;nom,donde;886;adv_sup,señalar;6252;ver,sobre;990;nom
autoridad;215;nom,dejar;881;ver,pequeño;6233;adj,intenso;990;adj
muerte;214;nom,aunque;875;con,santo;6205;adj,morir;982;ver
cuenta;214;nom,ejemplo;873;nom,autoridad;6205;nom,libertad;978;nom
siempre;213;adv,manera;872;nom,mundo;6197;nom,calle;971;nom
poner;210;ver,quedar;854;ver,2023;6176;num,ahí;958;adv
mano;210;nom,problema;853;nom,tiempo;6055;nom,00hrmin;948;nr
pequeño;208;adj,querer;846;ver,menos;6016;adv,chico;944;adj
durante;208;pre,futuro;834;adj,tú;5951;pro_per,l;940;sw
social;206;adv,hacia;825;pre,recibir;5843;ver,acabar;937;ver
mientras;206;con,moral;823;adj,semana;5828;nom,dios;936;nom
luego;205;adv,guerra;817;nom,director;5759;nom,primero;933;adj
erar|ser;204;ver,momento;809;nom,ahora;5728;adv,ganar;923;ver
hora;202;nom,relación;807;nom,mes;5706;nom,c;915;sw
tratar;200;ver,santo;804;adj,ley;5656;nom,desde;913;pre
aquí;199;adv,considerar;804;ver,c;5651;sw,futuro;910;adj
deber;198;ver_sup,seguridad;796;nom,proceso;5648;nom,casa;897;nom
guerra;197;nom,así;794;adv,secretar;5620;ver,mis;888;nr
grupo;197;nom,mío;793;pro_pos,ni;5613;con,parte;873;nom
sentir;192;ver,llegar;793;ver,quedar;5580;ver,saber|ser;868;ver
tanto;191;adj,mal;790;nom,secretario;5567;nom,distante;862;adj
miedo;187;nom,valor;785;nom,bien;5547;nom,amar;856;ver
gente;187;nom,dios;784;nom,reforma;5510;nom,éxito;847;nom
aunque;185;con,algo;775;adj_ind,tanto;5487;adj,2;841;num
seguridad;184;nom,idea;773;nom,conocer;5474;ver,mas;840;con
poco;184;nom,gente;770;nom,diputado;5461;nom,tiempo;835;nom
calle;183;nom,convertir;760;ver,qué;5456;pro,político;834;adj
organización;182;nom,antes;756;adv_sup,cuenta;5438;nom,parecer;831;ver
nunca;181;adv,cambio;755;nom,poner;5429;ver,amigo;831;nom
matar;180;ver,volver;754;ver,lugar;5423;nom,ayudar;824;ver
compañero;179;nom,sistema;753;nom,después;5402;adv,público;822;adj
historia;176;nom,nada;752;adj_ind,hora;5399;nom,empezar;821;ver
asesinar;176;ver,erar|ser;747;ver,tomar;5289;ver,f444eryy;815;nr
tarde;175;nom,violencia;732;nom,empresa;5284;nom,programa;804;nom
comenzar;174;ver,qué;720;pro,heraldodemexico;5272;nr,pedir;799;ver
forma;173;nom,tipo;717;nom,manera;5259;nom,único;797;adj
presidente;172;nom,proceso;717;nom,asegurar;5227;ver,junio;795;nom
feminista;171;adj,hijo;716;nom,servicio;5201;nom,pp;788;nom
muerto;170;adj,clase;716;nom,manuel;5186;nom,usar;787;ver
recibir;169;ver,producir;715;ver,20;5147;num,3;786;num
hecho;168;nom,fuerza;711;nom,6;5139;num,cara;785;nom
federal;168;adj,ahora;710;adv,12;5104;num,hermano;773;nom
edad;168;nom,grupo;708;nom,proyecto;5096;nom,generar;761;ver
cosa;168;nom,bajo;708;adj,momento;5064;nom,eliminar;761;ver
ante;166;pre,año;706;nom,tras;5043;pre,momento;758;nom
noche;163;nom,resultar;705;ver,covid;5026;nr,presidente;753;nom
nadie;163;nom,hoy;704;adv,tema;5017;nom,ley;748;nom
familiar;161;adj,fin;704;nom,tratar;5011;ver,1;748;num
nacional;160;adj,cuerpo;698;nom,alto;5010;adj,importar;747;ver
último;159;adj,posible;696;adj,informar;4988;ver,esperar;746;ver
mirar;159;ver,embargo;688;nom,hecho;4981;nom,uno;744;nom
contar;159;ver,v;679;sw,número;4920;nom,censurar;743;ver
palabra;158;nom,conocer;675;ver,pues;4887;con,mil;742;adj
muchacho;158;nom,familia;662;nom,económico;4871;adj,quién;736;pro
menos;158;adv,derecho;661;adj,instituto;4864;nom,pueblo;736;nom
humano;158;adj,cualquier;661;adj_ind,forma;4858;nom,poco;732;nom
mamá;157;nom,unir;659;ver,ciudadano;4857;nom,tipo;730;nom
escuela;157;nom,cuyo;658;pro_rel,centro;4853;nom,resultado;730;nom
pues;156;con,rico;654;adj,segundo;4842;adj,entrar;730;ver
