"";"X.cronica";"X.ensayo";"X.prensa";"X.redes"
"impotente";-2,2834;14,1821;-2,7334;-4,8121
"canes";-1,2844;-1,9956;-0,2253;3,5165
"igual";-4,8175;-0,3568;-4,0972;8,8929
"reconstruir";2,9553;-1,0573;2,2393;-4,0394
"canel";-2,2834;-5,2694;21,7736;-4,8121
"tío";-0,4412;-24,4264;-9,1435;36,1673
"manada";-0,4549;-0,8772;0,3292;1,0938
"compuesto";-0,7135;5,0092;-0,8542;-1,9002
"constelación";-1,0703;7,5138;-1,2813;-2,8503
"dirigir";3,7458;11,4566;0,3092;-28,4815
"capacitación";2,0698;-3,0189;4,6927;-3,5826
"271";-0,7135;-1,6467;7,4825;-1,9002
"probabilidad";-2,5645;18,809;-2,6039;-7,9454
"47";-0,4867;0,5297;1,7482;-1,6203
"sillón";1,145;-1,8113;2,1825;-1,2428
"chino";2,1789;-8,3547;14,8706;-5,0118
"kids";-0,5046;-2,47;-1,2813;5,3059
"acertar";-0,6509;1,8203;-0,8784;-0,4063
"darse";-1,223;-2,0631;-3,1299;8,296
"modalidad";0,8403;1,3394;0,6055;-4,5606
"music";-2,4974;-5,7634;-2,0548;13,9577
"aprendiz";0,8223;1,925;-0,5892;-2,6603
"posteriormente";2,4977;0,2448;0,7298;-4,1805
"hermano";25,3478;-47,3787;-22,3824;26,8061
"destruir";-3,5256;13,721;-1,2737;-4,6242
"emiliani122";-1,3557;-3,1287;-1,623;8,5603
"absoluto";-5,2085;7,8349;1,4483;-5,1002
"sede";5,71;-2,8959;3,49;-5,7392
"ordenar";3,6488;0,4325;3,051;-10,3072
"calidad";-1,0955;1,042;6,4835;-6,6701
"seda";0,3361;2,6392;-0,8542;-1,9002
"amaya";13,9327;-2,7993;-1,4521;-3,2304
"romper";-0,6757;-9,2349;-4,1762;18,8255
"big_ch0l0";-1,1417;-2,6347;-1,3667;7,2086
"cerrado";0,6633;0,6667;0,3575;-1,2967
"descuartizadas";0,2894;-1,8113;-0,9396;2,6471
"costado";2,4964;-0,6515;-0,2614;-0,9432
"inai";-1,3557;-3,1287;14,2169;-3,6104
"fin";-6,2383;50,9589;0,4497;-39,7599
"cndh";9,6949;-3,2933;0,3093;-3,8005
"estamentales";-1,1417;8,0148;-1,3667;-3,0404
"carpeta";8,1834;-6,0927;2,4876;-4,6846
"re|res";-0,8195;-6,5927;30,1046;-11,7817
"lucero";3,1454;-1,976;1,3238;-2,2803
"arroz";4,1124;-1,1609;-0,1972;-1,4002
"burguesía";-0,7849;5,5101;-0,9396;-2,0902
"tenia";-6,7789;-15,644;-8,1152;42,8039
"veracruz";9,4303;-18,9377;23,0021;-20,0468
"ronsard";-0,999;7,0129;-1,1959;-2,6603
"correcto";-2,0828;-0,5458;0,7172;1,2021
"permanencia";-0,4063;1,0977;0,3793;-0,9701
"págs";-1,4271;8,3713;-0,9803;-3,8005
"influyente";-0,2686;2,6392;-0,3526;-1,9002
"parresía";-0,7135;5,0092;-0,8542;-1,9002
"robertomerken";-0,9276;-2,1407;-1,1105;5,857
"mariafdacabal";-2,1406;-4,94;-2,5626;13,5163
"leis6leis";-0,7849;-1,8113;-0,9396;4,9559
"sitio";2,0909;0,4244;5,4361;-11,0788
"captar";-0,4933;7,3476;-1,553;-3,8528
"vitoria";-0,5554;-1,1046;-1,3667;3,6271
"eternidad";-1,1292;10,7438;-3,0751;-3,6974
"elijen";-32,5446;-75,1063;-38,9599;205,5179
"periodist";-0,999;-2,3053;-1,1959;6,3075
"teresa";12,3128;-4,7754;-0,4089;-2,6394
"idéntico";-0,2626;6,7807;-1,6136;-4,2823
"mandreanieto";-2,6401;-6,0927;-3,1606;16,6702
"schzter";-0,9276;-2,1407;-1,1105;5,857
"clausurar";-0,767;-3,2933;-1,7084;7,4375
"plata";-6,2794;-5,6437;-2,1586;18,2644
"plato";0,6149;-0,3412;0,9507;-1,0719
"caribe";-2,2834;-5,2694;23,9446;-6,0808
"comprar";-0,3254;-7,1271;-0,5845;7,5759
"culo";-0,4332;-1,9923;-2,3918;5,4111
"ahorrar";1,0869;-0,2163;-0,7156;-0,3232
"xvi";-15,7709;99,413;-14,5911;-38,1277
"ira";-3,4608;1,617;-0,4368;0,5283
"nuestro";-8,7387;97,1894;-3,2288;-49,4755
"lote";-0,2527;-3,6062;-0,4118;3,5884
"natura";-0,7849;5,5101;-0,9396;-2,0902
"encajar";-0,2746;6,1882;-1,1866;-4,3705
"colaboración";0,2411;1,5041;0,9192;-3,2372
"felicidad";-8,1201;4,2424;-6,2286;3,0507
"fra";-2,212;-5,1047;-1,7594;12,2074
"objeción";-1,4271;0,557;4,5015;-3,8005
"filmar";-0,3589;-1,1609;5,8166;-2,2803
"robleis01";-2,212;-5,1047;-2,648;13,9669
"medida";-8,5097;37,4236;4,7255;-46,3201
"sanitario";-0,4556;-5,0479;24,5938;-9,6668
"1670";-0,7135;5,0092;-0,8542;-1,9002
"chisme";-0,313;-1,028;0,2144;1,2713
"elpoderdelsonido";-0,9276;-2,1407;-1,1105;5,857
"memorial";7,2186;-1,028;-0,9396;-2,0902
"tejido";1,832;1,4488;0,512;-6,8409
"abascal";-1,1417;-2,6347;-0,3604;4,5767
"parisienses";-0,7849;5,5101;-0,9396;-2,0902
"agarrar";3,8975;-11,1791;-6,133;8,2255
"propagar";-1,8552;4,7783;-0,5333;-1,6618
"espiral";0,909;1,9399;-0,2172;-4,3705
"algun";-1,3557;-3,1287;-1,623;8,5603
"academia";1,985;-0,6515;1,9451;-3,5289
"letra";6,4703;-1,62;0,912;-3,5854
"desaparecer";144,0267;-5,3412;-11,6591;-57,294
"lasso";-1,1417;-2,6347;-0,7156;5,7293
"haz";-10,7608;-22,2706;-13,6636;68,6389
"u9tagvy411";-1,4271;-3,2933;-1,7084;9,0108
"traumatismo";1,9868;-0,2163;0,2549;-1,9002
"municipal";20,1185;-7,1556;7,2797;-20,3526
"individualismo";-0,7849;5,5101;-0,9396;-2,0902
"victoria";-0,2876;1,9979;2,8807;-7,3587
"fanatismo";-0,999;0,93;-0,2746;0,2285
"atribución";-0,5046;2,2596;0,5638;-2,8503
"robasen";-1,213;-2,7993;-1,4521;7,6592
"ocasión";0,7124;21,7002;0,6028;-37,7798
"agarra_pala";-2,4974;-5,7634;-2,9897;15,7691
"culpar";1,6915;-0,4136;-1,6139;0,3941
"oxenford";-0,8562;-1,976;-1,025;5,4065
"beneficiar";-2,5999;-4,1445;0,5465;6,2235
"tláhuac";0,7399;-2,47;5,4054;-2,8503
"constit";-0,7135;-1,6467;-0,8542;4,5054
"cagones";-7,5639;-17,4556;-9,0549;47,7606
"conjunción";-0,713;3,7014;0,3485;-3,6104
"información";4,9846;-0,4085;12,5987;-25,4847
"verde";3,6767;-6,7079;13,9916;-8,661
"gundyr8ikd";-0,8562;-1,976;-1,025;5,4065
"eventual";-0,5554;0,4063;3,2048;-3,0404
"variable";-1,6568;9,1539;0,3567;-8,7412
"plácido";9,0152;-1,8113;-0,9396;-2,0902
"urgir";-0,4;-4,3766;3,4535;0,5268
"apto";-0,4063;0,701;0,3793;-0,573
"oso";-0,767;0,557;-0,5523;0,6006
"peli";-1,4984;-3,458;-1,0484;7,8674
"macho";-3,8575;-11,1403;-6,6642;31,057
"naturalidad";0,2499;1,8795;-0,4677;-1,4002
"minuto";17,475;-12,7633;1,0713;-2,0478
"colapso";-1,9266;-0,4626;5,7321;-1,7885
"cintura";3,8426;-0,8977;-0,8542;-0,5982
"comisario";-3,672;-19,0433;-12,6944;47,9207
"eliminar";-25,7827;-34,7361;-29,9015;137,4314
"veintena";4,1124;-0,3515;-0,4677;-2,2803
"adorno";-1,8552;13,0241;-2,2209;-4,9406
"desafío";-0,5102;2,0276;1,4563;-4,027
"cumpleaños";4,1134;-2,4293;-0,3292;-0,4671
"reformador";-0,7135;5,0092;-0,8542;-1,9002
"indefinidamente";-1,0703;4,7916;-1,2813;-1,2389
"vínculo";-1,474;24,4582;-3,5428;-12,4853
"mejora";-0,7414;1,1481;1,3081;-1,9174
"medioambiental";-0,7849;3,0574;0,2144;-2,0902
"beneficio";-2,6113;2,4544;5,9646;-7,5529
"encubierto";0,6463;0,6095;-0,9396;-0,3836
"persistir";-0,3486;2,091;2,2485;-7,411
"cuanto";-6,1377;49,3944;-4,7098;-19,9036
"nitidez";-0,999;4,3506;-0,2746;-2,6603
"apostar";0,3432;-0,3907;2,0684;-1,5654
